"variable_name","abbreviation"
"Inhabitants in thousands","Pop. (thousands)"
"Catholics in thousands","Cath. (thousands)"
"Area in km^2","Area (km^2)"
"Inhabitants per km^2","Pop. per km^2"
"Catholics per 100 inhabitants","Cath. per 100 Pop."
"Ecclesiastical territories (total)","Eccl. Terr. (total)"
"Average area of ecclesiastical territories in km^2","Avg. Eccl. Area (km^2)"
"Ecclesiastical territories of Latin rite","Eccl. Terr. (Latin)"
"Ecclesiastical territories of Eastern rites","Eccl. Terr. (Eastern)"
"Patriarchal Sees","Patr. Sees"
"Metropolitan Sees","Metr. Sees"
"Archiepiscopal Sees","Archiep. Sees"
"Episcopal Sees","Episc. Sees"
"Territorial Prelatures","Terr. Prel."
"Territorial Abbacies","Terr. Abb."
"Exarchates and Ordinariates","Exarch. & Ordin."
"Military Ordinariates","Mil. Ordin."
"Apostolic Vicariates","Apost. Vic."
"Apostolic Prefectures","Apost. Pref."
"Apostolic Administrations","Apost. Admin."
"Independent Missions","Ind. Missions"
"Patriarchal Exarchate","Patr. Exarch."
"Parishes (total)","Parishes (total)"
"Mission stations with resident priest","Miss. Stn. w/ Priest"
"Mission stations without resident priest","Miss. Stn. w/o Priest"
"Other pastoral centres","Other Past. Ctrs."
"Pastoral centres (total)","Past. Ctrs. (total)"
"Inhabitants per pastoral centre","Pop. per Past. Ctr."
"Catholics per pastoral centre","Cath. per Past. Ctr."
"Pastoral centres per diocese","Past. Ctrs. per Diocese"
"Parishes as share of total pastoral centres","Parishes % Past. Ctrs."
"Mission stations","Miss. Stn. (total)"
"Mission stations as share of total pastoral centres","Miss. Stn. % Past. Ctrs."
"Number of other pastoral centres as share of total pastoral centres","Other Past. Ctrs. %"
"Pastoral centres as share of total pastoral centres","Past. Ctrs. % Total"
"Parishes with diocesan pastor","Parishes w/ Dioc. Pastor"
"Parishes with religious pastor","Parishes w/ Rel. Pastor"
"Parishes without pastor administered by another priest","Parishes Adm. by Priest"
"Parishes without pastor entrusted to permanent deacons","Parishes w/ Perm. Deacons"
"Parishes without pastor entrusted to non-priest religious men","Parishes w/ Non-Pr. Men"
"Parishes without pastor entrusted to religious women","Parishes w/ Rel. Women"
"Parishes without pastor entrusted to laypeople","Parishes w/ Laypeople"
"Parishes entirely vacant","Vacant Parishes"
"Parishes administered by a priest","Parishes w/ Priest Admin."
"Parishes entrusted to non-priests","Parishes w/ Non-Pr. Admin."
"Bishops (total)","Bishops (total)"
"Diocesan bishops","Dioc. Bishops"
"Titular bishops","Tit. Bishops"
"Secular cardinals","Sec. Cardinals"
"Secular patriarchs","Sec. Patriarchs"
"Secular archbishops","Sec. Archbishops"
"Secular bishops","Sec. Bishops"
"Secular episcopate (total)","Sec. Episc. (total)"
"Religious cardinals","Rel. Cardinals"
"Religious patriarchs","Rel. Patriarchs"
"Religious archbishops","Rel. Archbishops"
"Religious bishops","Rel. Bishops"
"Religious episcopate (total)","Rel. Episc. (total)"
"Diocesan bishops (as main office)","Dioc. Bp. (Main)"
"Coadjutor or auxhiliary bishops (as main office)","Coadj./Aux. Bp. (Main)"
"Bishops with office in Roman Curia (as main office)","Bp. in Roman Curia"
"Bishops with other main office","Bp. Other Office"
"Bishops without office","Bp. w/o Office"
"Bishops native to country of residence","Native Bishops"
"Bishops foreign to country of residence","Foreign Bishops"
"Diocesan priests (total)","Dioc. Priests (total)"
"Religious priests","Rel. Priests"
"Incardinated diocesan priests","Inc. Dioc. Priests"
"Incardinated diocesan priests (resident abroad)","Inc. Dioc. Priests Abroad"
"Incardinated diocesan priests (incardinated in another country)","Inc. Dioc. Priests Other Ctry."
"Difference between incardinated and present diocesan priests","Inc. vs. Pres. Dioc. Priests"
"Incardinated diocesan priests on January 1","Inc. Dioc. Priests Jan 1"
"Yearly ordinations of diocesan priests","Dioc. Priest Ord. (Yr.)"
"Yearly deaths of diocesan priests","Dioc. Priest Deaths (Yr.)"
"Yearly defections of diocesan priests","Dioc. Priest Def. (Yr.)"
"Yearly variation in number of diocesan priests for other reasons","Dioc. Priest Var. Other (Yr.)"
"Yearly variation in number of diocesan priests (overall balance)","Dioc. Priest Var. (Yr.)"
"Yearly ordinations of diocesan priests as share of those incardinated on January 1","Dioc. Ord. % Inc. Jan 1"
"Yearly deaths of diocesan priests as share of those incardinated on January 1","Dioc. Deaths % Inc. Jan 1"
"Yearly defections of diocesan priests as share of those incardinated at January 1","Dioc. Def. % Inc. Jan 1"
"Yearly ordinations minus deaths and defections of diocesan priests as share of those incardinated on January 1","Dioc. Net Ord. % Inc. Jan 1"
"Priests and bishops as share of apostolic workforce","Priests & Bp. % Workforce"
"Diocesan permanent deacons","Dioc. Perm. Deacons"
"Religious permanent deacons","Rel. Perm. Deacons"
"Permanent deacons (diocesan and religious)","Perm. Deacons (total)"
"Non-priest religious men (with temporary or perpetual vows)","Non-Pr. Rel. Men"
"Religious women (with temporary or perpetual vows)","Rel. Women"
"Lay members of secular institutes for men","Lay Sec. Inst. Men"
"Members of secular institutes for women","Sec. Inst. Women"
"Lay missionaries","Lay Missionaries"
"Catechists","Catechists"
"Inhabitants per priest","Pop. per Priest"
"Catholics per priest","Cath. per Priest"
"Secondary schools for diocesan clergy - seminaries","Dioc. Sec. Sem."
"Secondary schools for diocesan clergy - residences","Dioc. Sec. Res."
"Philosophy+theology centres for diocesan clergy - seminaries","Dioc. Phil+Theo Sem."
"Philosophy+theology centres for diocesan clergy - residences","Dioc. Phil+Theo Res."
"Secondary schools for religious clergy - seminaries","Rel. Sec. Sem."
"Secondary schools for religious clergy - residences","Rel. Sec. Res."
"Philosophy+theology centres for religious clergy - seminaries","Rel. Phil+Theo Sem."
"Philosophy+theology centres for religious clergy - residences","Rel. Phil+Theo Res."
"Secondary schools and philosophy+theology centres (for diocesan and religious clergy)","Sec. & Phil+Theo (total)"
"Secondary schools and philosophy+theology centres (for diocesan clergy)","Dioc. Sec. & Phil+Theo"
"Secondary schools and philosophy+theology centres (for religious clergy)","Rel. Sec. & Phil+Theo"
"Philosophy+theology centres for diocesan and religious clergy - seminaries and residences","Phil+Theo Sem. & Res."
"Philosophy+theology centres for diocesan and religious clergy - seminaries","Phil+Theo Sem. (total)"
"Philosophy+theology centres for diocesan and religious clergy - residences","Phil+Theo Res. (total)"
"Secondary schools for diocesan and religious clergy - seminaries and residences","Sec. Sem. & Res. (total)"
"Secondary schools for diocesan and religious clergy - seminaries","Sec. Sem. (total)"
"Secondary schools for diocesan and religious clergy - residences","Sec. Res. (total)"
"Secondary schools and philosophy+theology centres for diocesan clergy - seminaries","Dioc. Sec. & Sem."
"Secondary schools and philosophy+theology centres for diocesan clergy - residences","Dioc. Sec. & Res."
"Secondary schools and philosophy+theology centres for religious clergy - seminaries","Rel. Sec. & Sem."
"Secondary schools and philosophy+theology centres for religious clergy - residences","Rel. Sec. & Res."
"Students for diocesan clergy in secondary schools","Dioc. Sec. Students"
"Students for religious clergy in secondary schools","Rel. Sec. Students"
"Students for diocesan and religious clergy in secondary schools","Sec. Students (total)"
"Candidates for diocesan clergy in philosophy centres","Dioc. Phil. Cand."
"Candidates for religious clergy in philosophy centres","Rel. Phil. Cand."
"Candidates for diocesan and religious clergy in philosophy centres","Phil. Cand. (total)"
"Candidates for diocesan clergy in theology centres","Dioc. Theo. Cand."
"Candidates for religious clergy in theology centres","Rel. Theo. Cand."
